date,name,team,opposition,venue,bat_innings,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
2021-01-04,XC Bartlett,Brisbane Heat,Sydney Thunder,Brisbane Cricket Ground,,5,21.9,15,7.044736842,0,1
,JD Wildermuth,Brisbane Heat,Sydney Thunder,Brisbane Cricket Ground,,4,17.375,9.375,7.803333333,0,1
,Mujeeb Ur Rahman,Brisbane Heat,Sydney Thunder,Brisbane Cricket Ground,,2,18.5,12.25,9.11,0,3
,MT Steketee,Brisbane Heat,Sydney Thunder,Brisbane Cricket Ground,,5,10.10833333,7.033333333,9.553130435,1,2
,L Gregory,Brisbane Heat,Sydney Thunder,Brisbane Cricket Ground,,4,30,17.625,10.59615385,0,1
,MP Kuhnemann,Brisbane Heat,Sydney Thunder,Brisbane Cricket Ground,,3,5.333333333,8,7.238095238,0,0
,JJ Bazley,Brisbane Heat,Sydney Thunder,Brisbane Cricket Ground,,3,14,9,8.682539683,0,0
,N McAndrew,Sydney Thunder,Brisbane Heat,Brisbane Cricket Ground,,3,29,16.66666667,9.653846154,0,1
,AF Milne,Sydney Thunder,Brisbane Heat,Brisbane Cricket Ground,,3,13.5,12.83333333,6.857651822,0,0
,CJ Green,Sydney Thunder,Brisbane Heat,Brisbane Cricket Ground,,3,21.33333333,15.33333333,8.907692308,0,1
,T Sangha,Sydney Thunder,Brisbane Heat,Brisbane Cricket Ground,,3,21.25,12.5,9.794871795,0,3
,CP Tremain,Sydney Thunder,Brisbane Heat,Brisbane Cricket Ground,,0,0,0,0,0,0
,BCJ Cutting,Sydney Thunder,Brisbane Heat,Brisbane Cricket Ground,,3,0,0,8.041269841,0,0
2021-01-03,JK Lalor,Melbourne Renegades,Perth Scorchers,Perth Stadium,,2,0,0,11.84210526,0,0
,KW Richardson,Melbourne Renegades,Perth Scorchers,Perth Stadium,,3,30.83333333,20.5,9.066127946,0,0
,P Hatzoglou,Melbourne Renegades,Perth Scorchers,Perth Stadium,,3,19.55555556,15,8.320512821,0,0
,Noor Ahmad,Melbourne Renegades,Perth Scorchers,Perth Stadium,,3,0,0,8.1,0,1
,JA Prestwidge,Melbourne Renegades,Perth Scorchers,Perth Stadium,,4,15.33333333,13.66666667,6.241758242,0,2
,Mohammad Nabi,Melbourne Renegades,Perth Scorchers,Perth Stadium,,2,16,12,8.5,0,0
,JA Richardson,Perth Scorchers,Melbourne Renegades,Perth Stadium,,4,15.375,12.3125,6.618525641,1,1
,JP Behrendorff,Perth Scorchers,Melbourne Renegades,Perth Stadium,,4,11.625,11.5,6.1,0,2
,AM Hardie,Perth Scorchers,Melbourne Renegades,Perth Stadium,,4,0,0,9.383928571,0,2
,AJ Tye,Perth Scorchers,Melbourne Renegades,Perth Stadium,,4,14.75,11.875,6.586004785,1,1
,Fawad Ahmed,Perth Scorchers,Melbourne Renegades,Perth Stadium,,4,20.83333333,16.83333333,7.423712121,0,3
,LS Livingstone,Perth Scorchers,Melbourne Renegades,Perth Stadium,,2,9.5,9,7,0,1
2021-01-10,SNJ O'Keefe,Sydney Sixers,Brisbane Heat,Carrara Oval,,2,16.5,12,7.125,0,0
,JM Bird,Sydney Sixers,Brisbane Heat,Carrara Oval,,2,14,12,7.7,0,2
,CR Brathwaite,Sydney Sixers,Brisbane Heat,Carrara Oval,,4,6.333333333,5.333333333,8.127403846,0,4
